  3805 GREGG         
   429 BARD          
  3147 FINDLEY       
  3437 GALLATIN      
  5935 MALBONE       
   884 BOURN         
  7553 POTTER        
  8702 SMITH  W.L.   
  4019 HAMPTON       
   656 BENTON        
 10275 WINN          
  4090 HARPER        
  2816 EARLE         
  4843 JACKSON  A.   
  8639 SMITH  ISRA   
  1195 BUCK          
  8148 RUTHERFORD    
  6625 MOORE         
  4850 JACKSON  G.   
  7603 PRESTON       
  4026 HANCOCK       
  1936 COLES         
  9658 VENABLE       
  1739 CLAIBORNE     
  3582 GILES         
  4127 HARRISON      
  7199 PARKER        
  7156 PAGE          
  1853 CLOPTON       
  1380 CABELL        
  5903 MADISON       
  6886 NEW           
  1007 BRENT         
  6911 NICHOLAS      
  4269 HEATH         
  9489 TRUMBULL      
  9676 VINING        
  5494 LATIMER       
  3877 GUNN          
  9189 TATTNALL      
  6000 MARSHALL      
  1118 BROWN         
  4333 HENRY         
  7564 POTTS         
  9028 STRONG        
  1384 CABOT         
  5449 LANGDON       
  5713 LIVERMORE     
  8150 RUTHERFURD    
  3361 FRELINGHUYS   
  1302 BURR          
  5270 KING          
  6012 MARTIN        
   800 BLOODWORTH    
  8070 ROSS          
   719 BINGHAM       
   951 BRADFORD      
  3315 FOSTER        
  7763 READ          
  1346 BUTLER        
  7164 PAINE         
  7989 ROBINSON      
  9238 TAZEWELL      
  6063 MASON         
   112 ALLEN         
  8671 SMITH  N.     
  3846 GRISWOLD      
  3678 GOODRICH      
  2316 DANA          
  1914 COIT          
  2355 DAVENPORT     
  2852 EDMOND        
   943 BRACE         
   524 BAYARD        
  6472 MILLEDGE      
   379 BALDWIN       
  2413 DAVIS         
  3324 FOWLER        
  2512 DENT          
  8810 SPRIGG        
  2139 CRAIK         
   332 BAER          
  8678 SMITH  S.     
  6087 MATTHEWS      
  4441 HINDMAN       
  2501 DENNIS        
  8563 SKINNER       
  8440 SHEPARD       
  5850 LYMAN         
  3303 FOSTER  D.    
  3358 FREEMAN  N.   
  7788 REED          
  1232 BULLOCK       
  7108 OTIS          
  9650 VARNUM        
  8376 SEWALL        
   947 BRADBURY      
   484 BARTLETT      
  7192 PARKER  I.    
  9707 WADSWORTH     
  9268 THACHER       
  3357 FREEMAN  J.   
  3701 GORDON        
  3299 FOSTER  D.    
  8644 SMITH  J.     
  8802 SPRAGUE       
  8544 SINNICKSON    
  4800 IMLAY         
  9353 THOMSON       
  8278 SCHUREMAN     
  5715 LIVINGSTON    
  4204 HAVENS        
  9602 VANCORTLAND   
  2941 ELMENDORF     
  1072 BROOKS        
  4593 HOSMER        
  9591 VAN ALEN      
  3628 GLEN          
 10159 WILLIAMS J.   
  1881 COCHRAN       
  6229 MCDOWELL      
  5734 LOCKE         
 10176 WILLIAMS R.   
  8837 STANFORD      
  5895 MACON         
  3594 GILLESPIE     
  3859 GROVE         
  1255 BURGES        
   805 BLOUNT        
  1176 BRYAN         
  8756 SPAIGHT       
  9107 SWANWICK      
  9779 WALN          
  6155 MCCLENACHAN   
  9308 THOMAS        
  1655 CHAPMAN       
  8555 SITGREAVES    
  1132 BROWN         
  4394 HIESTER       
  4037 HANNA         
  5310 KITTERA       
  4156 HARTLEY       
  3805 GREGG         
   429 BARD          
  3147 FINDLEY       
  3437 GALLATIN      
  1633 CHAMPLIN      
  7553 POTTER        
  9385 TILLINGHAST   
  8702 SMITH  W.L.   
  7458 PINCKNEY      
  8153 RUTLEDGE      
   656 BENTON        
  9088 SUMTER        
  4090 HARPER        
  8695 SMITH  W.     
  1741 CLAIBORNE W   
  5867 LYON          
  6710 MORRIS        
  6674 MORGAN        
  4532 HOLMES        
  5879 MACHIR        
  9468 TRIGG  A.     
  9470 TRIGG  J.     
  1815 CLAY          
  9658 VENABLE       
  1739 CLAIBORNE T   
  3582 GILES         
  2883 EGGLESTON     
  4127 HARRISON      
  7199 PARKER  J.    
  3021 EVANS         
  1853 CLOPTON       
  1380 CABELL        
  2426 DAWSON        
  6886 NEW           
  1007 BRENT         
  6911 NICHOLAS      
  5064 JONES         
  4433 HILLHOUSE     
  9452 TRACY         
  5494 LATIMER       
  1823 CLAYTON       
  3877 GUNN          
  9189 TATTNALL      
  1118 BROWN         
  6000 MARSHALL      
  4628 HOWARD        
  5725 LLOYD         
  8344 SEDGWICK      
  3674 GOODHUE       
  5713 LIVERMORE     
  5449 LANGDON       
  8964 STOCKTON      
  8150 RUTHERFURD    
  2351 DAVENPORT     
  5498 LAURANCE      
  4469 HOBART        
  6963 NORTH         
  9874 WATSON        
   800 BLOODWORTH    
  6012 MARTIN        
  8070 ROSS          
   719 BINGHAM       
  3315 FOSTER        
   951 BRADFORD      
  3791 GREENE        
  7763 READ          
  4753 HUNTER        
  1888 COCKE         
  4843 JACKSON       
   174 ANDERSON      
  7164 PAINE         
  1706 CHIPMAN       
  9238 TAZEWELL      
  6063 MASON         
  3846 GRISWOLD      
  2852 EDMOND        
  2316 DANA          
  2357 DAVENPORT J   
  3679 GOODRICH  E   
  3678 GOODRICH  C   
   943 BRACE         
  8651 SMITH  J.C.   
   524 BAYARD        
  5038 JONES         
  9165 TALIAFERRO    
  2413 DAVIS         
  3324 FOWLER        
  2512 DENT          
  9299 THOMAS  J.C   
  2139 CRAIK         
   332 BAER          
  8678 SMITH  S.     
  1716 CHRISTIE      
  6925 NICHOLSON     
  2501 DENNIS        
  8440 SHEPARD       
  5850 LYMAN         
  3303 FOSTER  D.    
 10169 WILLIAMS  L   
  7788 REED          
   733 BISHOP        
  7108 OTIS          
  9650 VARNUM        
  8376 SEWALL        
  7764 READ          
   484 BARTLETT      
  5568 LEE  S.       
  9707 WADSWORTH     
  9268 THACHER       
  3299 FOSTER  A.    
  3357 FREEMAN       
  8423 SHEAFE        
  3701 GORDON        
  9257 TENNEY        
  1974 CONDIT        
  5303 KITCHELL      
  5687 LINN          
  4800 IMLAY         
  2351 DAVENPORT F   
  8647 SMITH  J.     
  5715 LIVINGSTON    
  9602 VANCORTLAND   
  2941 ELMENDORF     
   351 BAILEY        
   722 BIRD          
  9328 THOMPSON      
  3628 GLEN          
  7481 PLATT         
  2058 COOPER        
  2581 DICKSON       
  4303 HENDERSON     
 10176 WILLIAMS  R   
  8837 STANFORD      
  5895 MACON         
  4426 HILL          
  3859 GROVE         
  8977 STONE         
   148 ALSTON        
  8756 SPAIGHT       
  9779 WALN          
  5594 LEIB          
  9308 THOMAS  R.    
  6784 MUHLENBERG    
  1132 BROWN  R.     
  4394 HIESTER       
  4037 HANNA         
  5310 KITTERA       
  4156 HARTLEY       
  3805 GREGG         
 10352 WOODS         
  8596 SMILIE        
  3437 GALLATIN      
  1633 CHAMPLIN      
  1116 BROWN  J.     
  7458 PINCKNEY      
  8153 RUTLEDGE      
  4694 HUGER         
  9088 SUMTER        
  4090 HARPER        
  6979 NOTT          
  1741 CLAIBORNE     
  5867 LYON          
  6710 MORRIS        
  7159 PAGE          
  4532 HOLMES        
  4850 JACKSON       
  9468 TRIGG  A.     
  9470 TRIGG  J.     
  1815 CLAY          
  7723 RANDOLPH      
  3668 GOODE         
  2883 EGGLESTON     
  3763 GRAY          
  7199 PARKER        
  3021 EVANS         
  6003 MARSHALL      
  1380 CABELL        
  2426 DAWSON        
  6886 NEW           
  7573 POWELL        
  6911 NICHOLAS      
  5559 LEE  H.       
  9452 TRACY         
  4433 HILLHOUSE     
  9947 WELLS         
  5494 LATIMER       
  3877 GUNN          
   379 BALDWIN       
  6000 MARSHALL      
  1118 BROWN         
  4628 HOWARD        
  5725 LLOYD         
  4441 HINDMAN       
  2550 DEXTER        
  3674 GOODHUE       
  6058 MASON         
  5713 LIVERMORE     
  5449 LANGDON       
  2440 DAYTON        
  8278 SCHUREMAN     
  5498 LAURANCE      
  6703 MORRIS        
   233 ARMSTRONG     
   800 BLOODWORTH    
  3342 FRANKLIN      
  8070 ROSS          
   719 BINGHAM       
  3315 FOSTER  T.    
  3791 GREENE        
  7455 PINCKNEY      
  7763 READ          
  1888 COCKE         
   174 ANDERSON      
  7164 PAINE         
  1706 CHIPMAN       
  6913 NICHOLAS      
  6063 MASON         
 99871 JEFFERSON     
  2357 DAVENPORT     
  2316 DANA          
  7344 PERKINS       
  3846 GRISWOLD      
  8651 SMITH  J.C.   
  9169 TALLMADGE     
  3639 GODDARD       
   524 BAYARD        
  6472 MILLEDGE      
  2819 EARLY         
  6422 MERIWETHER    
  2413 DAVIS         
  3324 FOWLER        
  1455 CAMPBELL      
   911 BOWIE         
  7478 PLATER        
  4390 HIESTER  D.   
  8678 SMITH  S.     
   222 ARCHER        
  6925 NICHOLSON     
  2501 DENNIS        
   325 BACON         
  8440 SHEPARD       
  6089 MATTOON       
  4181 HASTINGS      
 10169 WILLIAMS L.   
  8662 SMITH  J.     
   733 BISHOP        
  3001 EUSTIS        
  9650 VARNUM        
  7764 READ          
  2287 CUTLER        
  9271 THATCHER      
  9707 WADSWORTH     
  2294 CUTTS         
  3299 FOSTER        
  9567 UPHAM         
  9257 TENNEY        
  7308 PIERCE        
  4748 HUNT          
  6760 MOTT          
  8748 SOUTHARD      
  1974 CONDIT        
  2942 ELMER         
  4293 HELMS         
  8647 SMITH  J.     
  6577 MITCHILL      
  9602 VANCORTLAND   
  2941 ELMENDORF     
   351 BAILEY        
  9625 VANNESS       
  9290 THOMAS        
  9630 VANRENSSELA   
  9735 WALKER        
